"Theta_x","Theta_y","Estimated Theta_x","Estimated Theta_y"
26.021,-113.6032508,26.481,68.58966121,
26.041,-113.9630718,26.501,70.1937945,
26.084,-114.4585073,26.531,70.1937945,
26.111,-114.8314997,26.564,70.1937945,
26.131,-115.1894873,26.621,71.47209642,
26.191,-115.913682,26.654,71.07250171,
26.214,-116.4107072,26.681,71.62406466,
26.254,-117.0230636,26.714,71.62406466,
26.274,-117.6939707,26.754,71.79213139,
26.301,-118.0741474,26.784,71.79213139,
26.361,-118.7669766,26.814,72.02776074,
26.381,-119.3253462,26.844,72.02776074,
26.421,-119.48491,26.891,73.24249453,
26.464,-120.459035,26.904,73.24249453,
26.481,-120.8095385,26.921,73.24249453,
26.501,-121.1955809,26.954,73.24249453,
26.531,-121.5372875,27.014,74.32353284,
26.564,-121.8911134,27.054,74.32353284,
26.621,-122.3417789,27.091,75.62422072,
26.654,-123.3729968,27.121,75.62422072,
26.681,-123.75684,27.141,76.34867735,
26.714,-124.0620024,27.181,76.34867735,
26.754,-124.58853,27.184,76.34867735,
26.784,-125.1340796,27.244,77.81710992,
26.814,-125.6112192,27.304,77.81710992,
26.844,-126.302733,27.304,81.5838802,
26.891,-126.7963743,27.374,83.28565837,
26.904,-127.2422463,27.374,83.28565837,
26.921,-127.3865337,27.394,83.40155073,
26.954,-127.5668857,27.434,83.40155073,
27.014,-128.0206353,27.434,83.40155073,
27.051,-129.1435066,27.544,83.40155073,
27.091,-129.6847596,27.554,83.88838996,
27.121,-129.9411852,27.574,83.88838996,
27.141,-130.3858374,27.621,84.85429828,
27.181,-130.9130936,27.654,86.22593722,
27.184,-131.2525677,27.681,86.22593722,
27.244,-131.9929434,27.684,86.22593722,
27.301,-132.49024,27.754,86.22593722,
27.304,-132.5800397,27.791,88.87270256,
27.374,-133.7076285,27.821,88.87270256,
27.374,-133.7076285,27.864,88.87270256,
27.394,-133.9395629,27.881,89.05555739,
27.434,-134.3587902,27.914,92.76397774,
27.434,-134.4477763,27.954,95.08404757,
27.544,-135.7610324,28.001,95.08404757,
27.554,-136.3265001,28.024,103.6202863,
27.574,-136.5334422,28.051,103.6202863,
27.621,-137.1766994,28.081,112.7173162,
27.654,-137.5164732,28.104,112.7173162,
27.681,-138.0730406,28.131,112.7173162,
27.684,-138.3175596,28.184,112.7173162,
27.754,-138.9746211,28.204,117.9445848,
27.791,-139.7419234,28.254,124.2666387,
27.821,-140.1252093,28.274,139.4500734,
27.864,-140.5764202,28.294,146.8516525,
27.881,-141.1265584,28.324,146.8516525,
27.914,-141.483319,28.381,148.444845,
27.954,-142.0487658,28.404,148.444845,
27.994,-142.3172465,28.451,154.3709416,
28.021,-143.058567,28.484,157.9101682,
28.051,-143.6171938,28.514,157.9101682,
28.081,-144.0983969,28.514,157.9101682,
28.104,-144.1487706,28.564,157.9101682,
28.131,-144.8415118,28.621,156.8162407,
28.184,-145.5203878,28.621,156.8162407,
28.204,-145.7685512,28.664,156.8162407,
28.254,-146.4416646,28.724,152.8493517,
28.274,-146.9117751,28.754,152.8493517,
28.294,-147.1504025,28.784,176.5561687,
28.324,-147.4055553,28.814,-178.8395738,
28.381,-148.3438718,28.841,-178.8395738,
28.404,-149.0308466,28.884,-178.8395738,
28.444,-149.4750422,28.901,-175.4694133,
28.484,-150.3310272,28.941,-175.4694133,
28.514,-150.8948221,28.981,-170.707449,
28.514,-150.8948221,29.011,-170.707449,
28.564,-151.3742066,29.041,-169.5208548,
28.621,-152.7238033,29.091,-169.5208548,
28.621,-152.7570751,29.101,-169.5208548,
28.664,-154.3662001,29.161,-169.5208548,
28.724,-155.0707519,29.161,-169.5208548,
28.754,-155.4409356,29.224,-165.7042582,
28.784,-155.9619994,29.244,-163.0322414,
28.814,-156.0983944,29.284,-163.0322414,
28.841,-156.2111173,29.314,-163.0322414,
28.884,-156.2895939,29.344,-161.5474428,
28.901,-156.4064296,29.374,-161.5474428,
28.941,-156.4118772,29.411,-161.5474428,
28.981,-156.5820174,29.461,-161.5474428,
29.011,-156.8315851,29.491,-161.5474428,
29.041,-156.9411519,29.504,-160.5023073,
29.091,-157.2713132,29.571,-160.5023073,
29.101,-157.6910602,29.601,-160.5023073,
29.161,-158.0114627,29.611,-160.5023073,
29.161,-158.1753301,29.681,-159.9133396,
29.224,-158.3394905,29.684,-159.9133396,
29.244,-158.4287884,29.721,-159.0439462,
29.284,-158.4869822,29.751,-159.0439462,
29.314,-158.5364875,29.801,-158.5440772,
29.344,-158.5160001,29.801,-158.5440772,
29.374,-158.5984378,29.841,-158.5440772,
29.411,-158.500488,29.884,-158.5440772,
29.461,-158.4280019,29.894,-158.5440772,
29.491,-158.3967577,29.954,-157.8982688,
29.504,-158.4918499,29.984,-157.8982688,
29.571,-158.4802521,30.021,-157.1257193,
29.601,-158.3829791,30.054,-157.1257193,
29.611,-158.2702405,30.071,-156.1701827,
29.681,-158.024019,30.104,-156.1701827,
29.684,-158.0708158,30.154,-156.1701827,
29.721,-158.0381564,30.174,-155.85889,
29.751,-157.9943588,30.204,-154.9891405,
29.801,-158.0248831,30.231,-154.9891405,
29.801,-158.0248831,30.261,-154.9891405,
29.841,-157.7196558,30.294,-154.9891405,
29.884,-157.547608,30.354,-154.2153918,
29.894,-157.3036776,30.381,-154.2153918,
29.954,-157.057667,30.411,-154.2153918,
29.984,-156.8320594,30.464,-152.8126543,
30.021,-156.6506557,30.491,-152.0979489,
30.054,-156.4621782,30.514,-152.0979489,
30.071,-156.3451026,30.554,-151.4008768,
30.104,-156.1489627,30.574,-151.4008768,
30.154,-155.9363595,30.594,-151.4008768,
30.174,-155.6361683,30.624,-150.9701793,
30.201,-155.5211355,30.661,-150.9701793,
30.231,-155.3366244,30.711,-150.9701793,
30.261,-155.1803912,30.764,-150.9701793,
30.294,-154.7738299,30.784,-149.6901918,
30.354,-154.4332207,30.811,-149.6901918,
30.381,-154.2131929,30.841,-148.1832828,
30.411,-153.7677452,30.854,-148.1832828,
30.464,-153.780742,30.924,-148.1832828,
30.491,-152.9685768,30.954,-146.9244303,
30.514,-152.8335213,30.974,-146.9244303,
30.554,-152.4230294,31.011,-146.080259,
30.574,-152.2696249,31.011,-146.080259,
30.594,-152.0857679,31.044,-146.080259,
30.624,-152.0565687,31.121,-145.2441851,
30.661,-151.8775016,31.141,-145.2441851,
30.711,-151.4606889,31.154,-145.2441851,
30.754,-150.8758282,31.191,-145.2441851,
30.784,-150.0582078,31.291,-144.1614451,
30.811,-149.8802818,31.291,-144.1614451,
30.841,-149.3982503,31.321,-144.1614451,
30.854,-149.5210931,31.344,-141.2863685,
30.924,-148.9275949,31.384,-141.2863685,
30.954,-148.3097458,31.411,-140.5713939,
30.974,-148.2502124,31.444,-140.5713939,
31.011,-148.046658,31.484,-139.3888929,
31.011,-148.1218372,31.491,-139.3888929,
31.044,-147.6554717,31.561,-139.3888929,
31.121,-146.3968731,31.591,-139.3888929,
31.141,-146.4883026,31.624,-138.7163047,
31.154,-145.9851161,31.651,-138.7163047,
31.191,-146.0350218,31.654,-138.7163047,
31.291,-144.7498164,31.711,-138.7163047,
31.291,-144.7498164,31.751,-137.2295241,
31.321,-143.9940082,31.774,-137.2295241,
31.344,-143.2988345,31.801,-137.2295241,
31.384,-143.0615951,31.854,-135.8281176,
31.411,-142.6672452,31.874,-135.8281176,
31.444,-142.1200823,31.911,-134.2527199,
31.484,-141.4782807,31.961,-134.2527199,
31.491,-141.4928852,31.961,-134.2527199,
31.561,-140.3125323,32.024,-134.2527199,
31.591,-140.0665843,32.044,-132.5800149,
31.611,-139.9790014,32.091,-132.5800149,
31.651,-139.5275958,32.094,-132.5800149,
31.651,-139.2482317,32.154,-131.372694,
31.711,-139.290597,32.194,-131.372694,
31.751,-137.8397267,32.211,-131.372694,
31.774,-137.7640375,32.241,-131.372694,
31.801,-137.676734,32.294,-129.8325288,
31.854,-136.7894625,32.311,-128.1545859,
31.874,-136.2584647,32.354,-127.059989,
31.911,-135.6985737,32.374,-121.2742938,
31.944,-135.6513421,32.394,-121.2742938,
31.961,-135.6683836,32.461,-121.2742938,
32.024,-134.186344,32.494,-113.3169286,
32.044,-133.9185179,32.494,-113.3169286,
32.091,-134.0287746,32.534,-113.3169286,
32.094,-134.0767205,32.574,-100.6157893,
32.154,-133.3722883,32.611,-100.6157893,
